Serving HTTP on 0.0.0.0 port 53413 (http://0.0.0.0:53413/) ...
127.0.0.1 - - [25/Jun/2025 17:37:26] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [25/Jun/2025 17:45:10] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [25/Jun/2025 17:59:25] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [25/Jun/2025 18:02:13] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [25/Jun/2025 18:06:50] "GET /modern_game.html HTTP/1.1" 200 -
172.17.0.1 - - [25/Jun/2025 18:10:34] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [25/Jun/2025 18:10:45] "GET /modern_game.html HTTP/1.1" 200 -
172.17.0.1 - - [25/Jun/2025 18:16:18] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [25/Jun/2025 18:23:20] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [25/Jun/2025 18:59:30] "GET / HTTP/1.1" 304 -
